isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
True,0,2020-12-01 14:52:40.376000+00:00,,,,,88,5,"Lo mejor de lo mejor la comida excelente, recomendadisimo, las costillas son lo máximo 🤤🤤🤤",Rukito Grill&Drink - Alborada,True,"Lo mejor de lo mejor la comida excelente, recomendadisimo, las costillas son lo máximo 🤤🤤🤤",es
True,0,2020-09-08 03:55:15.568000+00:00,,,,,24,5,Muy buena comida y atención...,Rukito Grill&Drink - Alborada,True,Muy buena comida y atención...,es
True,0,2021-06-08 01:50:31.590000+00:00,,,,,99,5,"Buenas comida, lo malo es que no tienen mucho espacio, pero la atención todo lo demás es muy bueno",Rukito Grill&Drink - Alborada,True,"Buenas comida, lo malo es que no tienen mucho espacio, pero la atención todo lo demás es muy bueno",es
True,0,2023-03-13 01:43:59.793000+00:00,,5.0,5.0,5.0,7,5,Excelente!! Muy rico super recomendado,Rukito Grill&Drink - Alborada,True,Excelente!! Muy rico super recomendado,es
True,0,2021-07-26 21:11:49.919000+00:00,,,,,131,5,Excelente,Rukito Grill&Drink - Alborada,True,Excelente,es
False,0,2020-09-12 12:42:47.458000+00:00,,,,,1,5,"Demasiado buena la comida, si hay que esperar un poco pero lo vale",Rukito Grill&Drink - Alborada,True,"Demasiado buena la comida, si hay que esperar un poco pero lo vale",es
True,1,2021-01-20 04:24:42.692000+00:00,,,,,19,4,Rica comida!! 😋 aunque en ves de los chifles podrían dar patacones,Rukito Grill&Drink - Alborada,True,Rica comida!! 😋 aunque en ves de los chifles podrían dar patacones,es
True,0,2022-07-02 21:41:39.317000+00:00,,,,,305,5,"Muy bueno, atención de 1ra clase, buen ambiente",Rukito Grill&Drink - Alborada,True,"Muy bueno, atención de 1ra clase, buen ambiente",es
True,0,2021-07-12 22:01:27.182000+00:00,,,,,61,5,Muy buen servicio excelente sabor,Rukito Grill&Drink - Alborada,True,Muy buen servicio excelente sabor,es
True,0,2021-07-09 18:37:34.302000+00:00,,,,,28,5,Buena comida .y la sangría me encantó 🤩,Rukito Grill&Drink - Alborada,True,Buena comida .y la sangría me encantó 🤩,es
