isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado,sentimiento,prob_positivo,prob_negativo,prob_neutral
True,0,2022-03-21 12:29:27.272000+00:00,,,,,41,5,Delicioso  genial,Casa Res | Steak House (Mall del Sol),True,Delicioso genial,es,NEU,0.2829607129096985,0.2507377564907074,0.4663015305995941
True,0,2021-08-11 14:58:45.073000+00:00,,,,,27,5,Los mejores cortes de carne,Casa Res | Steak House (Mall del Sol),True,Los mejores cortes de carne,es,POS,0.8703704476356506,0.013108654879033566,0.11652089655399323
True,0,2020-10-05 23:53:08.141000+00:00,,,,,55,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2020-02-08 21:45:29.847000+00:00,,,,,94,4,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
False,0,2020-09-27 22:03:16.351000+00:00,,,,,5,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2021-09-24 16:07:21.523000+00:00,,,,,39,5,Delicioso,Casa Res | Steak House (Mall del Sol),True,Delicioso,es,NEU,0.18431298434734344,0.2945018410682678,0.5211851596832275
True,0,2020-01-09 04:30:42.124000+00:00,,,,,20,2,No me gustó,Casa Res | Steak House (Mall del Sol),True,No me gustó,es,NEG,0.09184664487838745,0.7171293497085571,0.1910240352153778
True,1,2021-09-03 14:26:20.062000+00:00,,,,,19,5,Bien,Casa Res | Steak House (Mall del Sol),True,Bien,es,NEU,0.29389795660972595,0.22995729744434357,0.4761447608470917
True,0,2021-12-08 11:46:58.537000+00:00,,,,,83,5,Delicioso,Casa Res | Steak House (Mall del Sol),True,Delicioso,es,NEU,0.18431298434734344,0.2945018410682678,0.5211851596832275
False,0,2020-06-14 14:39:59.230000+00:00,,,,,128,4,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2020-03-05 05:45:40.011000+00:00,,,,,27,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
False,0,2020-03-11 04:42:20.170000+00:00,,,,,9,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
False,0,2020-01-19 21:18:47.072000+00:00,,,,,6,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
True,0,2021-06-21 23:50:38.829000+00:00,,,,,9,5,Excelente,Casa Res | Steak House (Mall del Sol),True,Excelente,es,NEU,0.3187224268913269,0.20341528952121735,0.47786223888397217
